rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared
144,dnspython,133721918,success,4,"anyio,dns,pythoncom,sniffio",10,21
145,google-genai,132528413,success,6,"certifi,google,ipython,mcp,multidict,pil",13,11
146,opentelemetry-exporter-otlp-proto-http,132356495,clone_failed,0,,0,0
147,poetry-core,131973953,success,20,"cleo,dulwich,fastjsonschema,findpython,importlib_metadata,installer,keyring,packaging,pkginfo,platformdirs,pyproject_hooks,requests,requests_toolbelt,shellingham,tomli,tomlkit,trove_classifiers,typing_extensions,virtualenv,xattr",22,23
148,openai,129905130,success,3,"h2,pydantic_core,trio",15,15
149,google-cloud-core,129441917,success,2,"google,grpc",2,0
150,matplotlib,128440095,success,21,"cairo,cairocffi,certifi,colorspacious,gi,ipykernel,ipython,jinja2,mpl_toolkits,pandas,pil,pyqt5,pyqt6,pyside2,pyside6,shiboken2,shiboken6,sip,tornado,typing_extensions,wx",30,13
151,gitpython,128198506,success,4,"atheris,gitdb,typing_extensions,utils",4,0
152,websockets,128021729,success,6,"atheris,exceptiongroup,socks,trio,werkzeug,zoneinfo",6,0
153,joblib,126827111,success,8,"dask,distributed,lz4,numpy,opcode,psutil,tornado,viztracer",8,0
154,threadpoolctl,126326398,success,1,pyodide_js,1,0
155,huggingface-hub,125827857,success,25,"annotationlib,anyio,authlib,fastai,fastapi,google,gradio,helpers,ipython,ipywidgets,jinja2,libcst,mcp,numpy,pil,pydantic,rich,ruff,safetensors,starlette,tensorboardx,toml,torch,torch_xla,typer",31,10
156,deprecated,124817842,success,0,,2,6
157,chardet,124202675,success,2,"cchardet,hypothesis",2,0
158,opentelemetry-exporter-otlp-proto-grpc,123638548,clone_failed,0,,0,0
159,azure-identity,123450155,success,79,"adal,agent_framework,aio,avro,azure,azureml,bytecode,cchardet,certifi,chardet,charset_normalizer,ci_tools,cloudevents,colorama,common_tasks,corehttp,cryptography,dns,docker,dotenv,gh_tools,httpcore,infra,ipython,isodate,jinja2,jsonschema,jwt,key_vault_base,key_vault_base_async,langchain_azure_ai,langchain_core,langgraph,makefun,marshmallow,mcp,mldesigner,msal,msal_extensions,msrest,msrestazure,multidict,nltk,openai,opentelemetry,packaging,pandas,pkg_resources,prep_sphinx_env,process_monitor,promptflow,psutil,pydantic,pydash,pypi_tools,pyrit,pyspark,requests,ruamel,run_sphinx_apidoc,semantic_kernel,six,smoke_test,smoke_test_async,starlette,strictyaml,tenacity,tox_helper_tasks,tqdm,trio,typing_extensions,uamqp,urllib2,urllib3,urlparse,uvicorn,verify_whl,websocket,yarl",79,0
160,fonttools,123061397,success,28,"appkit,brotli,cairo,carbon,cffsubr,defcon,easydialogs,freetype,fs,glyphslib,lxml,lz4,matplotlib,mpl_toolkits,numpy,pathops,pil,pyqt5,quartz,reportlab,res,scipy,sympy,ufolib2,uharfbuzz,unicodedata2,wx,xattr",31,4
161,smmap,121223660,success,0,,0,0
162,zstandard,120026109,success,1,packaging,2,2
163,opentelemetry-instrumentation,119829533,clone_failed,0,,0,0
164,gitdb,119168208,success,2,"gitdb_speedups,sha",3,1
165,tabulate,118165636,success,0,,1,1
166,keyring,118084177,success,7,"dbus,gi,jaraco,pluggy,pywintypes,win32cred,win32ctypes",9,23
167,opentelemetry-exporter-otlp-proto-common,117723569,clone_failed,0,,0,0
168,distro,117684428,success,0,,0,0
169,itsdangerous,117058810,success,1,typing_extensions,1,0
170,google-resumable-media,116598491,success,5,"crcmod,google,google_crc32c,requests,urllib3",5,0
171,google-api-python-client,116305004,success,4,"google,googleapiclient,oauth2client,synthtool",7,5
172,paramiko,116066908,success,7,"alabaster,invocations,nacl,pywintypes,shared_conf,sspi,sspicon",11,7
173,prompt-toolkit,115469740,success,2,"pyperclip,typing_extensions",3,1
174,ruamel-yaml,114347652,no_repo,0,,0,0
175,google-crc32c,114339209,success,0,,0,1
176,kiwisolver,114312954,clone_failed,0,,0,0
177,pyproject-hooks,113758492,success,0,,0,0
178,langsmith,113577146,success,31,"agents,anthropic,bench,claude_agent_sdk,google,langchain,langchain_anthropic,langchain_core,langchain_openai,langsmith_pyo3,numpy,openai,openapi_spec_validator,opentelemetry,orjson,packaging,pandas,psutil,pydantic,pyperf,rapidfuzz,requests,requests_toolbelt,simsimd,tqdm,tracing_client_bench,typing_extensions,urllib3,vcr,zoneinfo,zstandard",31,0
179,build,112966651,success,0,,0,7
180,jaraco-classes,111816271,success,1,typing_extensions,2,13
181,blinker,111744893,success,0,,0,0
182,fastjsonschema,111726514,success,1,jsonspec,3,7
183,secretstorage,111489689,success,0,,2,2
184,dill,111111524,success,3,"diff,numpy,version",3,0
185,backoff,109309564,success,1,typing_extensions,1,0
186,jeepney,108988064,no_repo,0,,0,0
187,defusedxml,108329435,success,5,"genshi,httplib,lxml,urllib2,urlparse",5,0
188,redis,108002464,success,6,"jwt,numpy,openssl,pandas,sentence_transformers,typing_extensions",11,7
189,rapidfuzz,107336573,clone_failed,0,,0,0
190,cycler,106087397,success,0,,0,7
191,google-auth-oauthlib,105807888,success,2,"google,requests_oauthlib",2,0
192,ruff,105376027,clone_failed,0,,0,0
193,google-cloud-bigquery,104824533,success,4,"google,numpy,opentelemetry,proto",16,27
194,hatchling,103957711,clone_failed,0,,0,0
195,typer,103491407,success,5,"items,lands,reigns,towns,users",8,4
196,opentelemetry-util-http,102757831,clone_failed,0,,0,0
197,uritemplate,101857397,success,0,,0,0
198,prometheus-client,100889884,success,0,,1,2
199,contourpy,100467271,success,0,,1,17
200,webencodings,100467266,success,0,,0,0
201,alembic,100448317,success,2,"greenlet,zoneinfo",5,5
202,pytest-cov,99484679,success,0,,0,6
203,httplib2,99301371,success,4,"ca_certs_locater,certifi,pyparsing,socks",4,0
204,opentelemetry-exporter-otlp,99256312,clone_failed,0,,0,0
205,transformers,98804323,success,202,"absl,accelerate,align,apex,apollo_torch,aqlm,audiocraft,auto_round,av,awq,azureml,bark,bitsandbytes,bros,bs4,causal_conv1d,causal_conv1d_cuda,check_config_docstrings,check_repo,classy_vision,clearml,clip,codecarbon,comet_ml,compare_test_runs,compressed_tensors,configuration_xlstm,create_dependency_mapping,create_dummy_models,custom_init_isort,cv2,dagshub,dall_e,datasets,dateutil,decord,deepspeed,detectron2,donut,dvclive,eetq,einops,emoji,esm,essentia,fairseq,fairseq2,faiss,fast_hadamard_transform,fastapi,fbgemm_gpu,filelock,fla,flash_attn,flash_attn_interface,flatdict,flax,flute,flytekit,flytekitplugins,fp_quant,ftfy,fugashi,g2p_en,galore_torch,gdown,get_ci_error_statistics,get_previous_daily_ci,get_test_info,gguf,google,grokadamw,h5py,habana_frameworks,haiku,hqq,huggingface_hub,important_files,intel_extension_for_pytorch,ipadic,ipython,jax,jinja2,jmespath,kenlm,kernels,laion_clap,lavis,levenshtein,libcst,librosa,liger_kernel,lomo_optim,mamba_ssm,mambapy,mask2former,maskformer,megatron,mistral_common,ml_dtypes,mlflow,mlx,modeling_cyclical,modeling_finetune,modeling_xlstm,models,modular_integrations,modular_model_converter,mykytea,natten,nemo,neptune,nltk,nougat,num2words,numpy,oneformer,openai,opentelemetry,optimi,optimum,optuna,orbax,packaging,pandas,peft,phonemizer,pil,pretty_midi,psutil,pycocotools,pyctcdecode,pydantic,pytesseract,pythainlp,pytorch_lightning,quark,ray,regex,requests,rhoknp,rich,rjieba,s3prl,sacremoses,safetensors,schedulefree,scipy,seamless_communication,selective_scan_cuda,sentence_transformers,sentencepiece,sew_asapp,sklearn,slack_sdk,smdistributed,soundfile,soxr,spacy,spqr_quant,src,sudachipy,swanlab,t5x,tensorboardx,tensorflow,tensorstore,tiktoken,timesfm,timm,tokenizer,tokenizers,torch,torch_mlu,torch_musa,torch_npu,torch_xla,torchao,torchaudio,torchcodec,torchdistx,torchvision,tqdm,trackio,transformers_old,tree,triton,typer,typing_extensions,unidic,unidic_lite,unilm,urllib3,uroman,uvicorn,vissl,vptq,wandb,wget,xielu,xlstm,yt_dlp",202,1
206,msal-extensions,98255271,success,3,"gi,pathlib2,portalocker",4,1
207,cloudpickle,97533232,success,1,opcode,1,0
208,setuptools-scm,97313645,success,0,,4,5
209,ruamel-yaml-clib,97051114,no_repo,0,,0,0
210,jiter,96820449,success,2,"orjson,ujson",2,0
211,tzlocal,96504522,clone_failed,0,,0,0
212,google-auth-httplib2,96437013,success,2,"google,httplib2",2,0
213,pydantic-settings,95548883,success,5,"azure,google,mypy_boto3_secretsmanager,pydantic_core,typing_extensions",10,10
214,docker,94758126,success,6,"pywintypes,websocket,win32api,win32event,win32file,win32pipe",9,12
215,orjson,94650515,clone_failed,0,,0,0
216,jaraco-functools,94383440,success,0,,1,14
217,opentelemetry-instrumentation-requests,92799051,clone_failed,0,,0,0
218,types-requests,92437079,clone_failed,0,,0,0
219,marshmallow,91109259,success,1,backports,2,13
220,importlib-resources,90785229,success,0,,0,14
221,ipython,90713222,success,24,"clr,cpickle,executing,gi,gobject,gtk,ipyparallel,jupyter_ai_magics,jupyter_client,opengl,pyglet,pyparsing,pyqt4,pyqt5,pyqt6,pyside,pyside2,pyside6,sip,system,wcwidth,win32clipboard,wx,yapf",43,33
222,xmltodict,90276986,success,0,,0,2
223,py4j,89863624,no_repo,0,,0,0
224,jaraco-context,89475330,success,1,backports,1,14
225,sqlparse,88503938,success,0,,0,2
226,black,87837457,clone_failed,0,,0,0
227,babel,87797486,success,4,"pkg_resources,tomli,typing_extensions,zoneinfo",5,7
228,azure-storage-blob,87750582,clone_failed,0,,0,0
229,nest-asyncio,87567772,success,1,tornado,1,0
230,pyzmq,86810871,success,12,"colorama,constants,gevent,numpy,pandas,paramiko,perf,pexpect,pyczmq,tornado,typing_extensions,zmq",13,1
231,langchain,86539814,success,106,"anthropic,async_timeout,bs4,certifi,chromadb,cohere,datasets,defusedxml,elasticsearch,exa_py,fastapi,fastembed,filetype,fireworks,grandalf,gritql,groq,httpx_sse,huggingface_hub,ipython,jinja2,jsonpatch,jsonschema,konlpy,langchain_anthropic,langchain_astradb,langchain_aws,langchain_azure_ai,langchain_chroma,langchain_classic,langchain_cli,langchain_cohere,langchain_community,langchain_core,langchain_deepseek,langchain_elasticsearch,langchain_exa,langchain_fireworks,langchain_google_genai,langchain_google_vertexai,langchain_groq,langchain_huggingface,langchain_ibm,langchain_milvus,langchain_mistralai,langchain_mongodb,langchain_neo4j,langchain_nomic,langchain_nvidia_ai_endpoints,langchain_ollama,langchain_openai,langchain_perplexity,langchain_pinecone,langchain_postgres,langchain_prompty,langchain_qdrant,langchain_text_splitters,langchain_together,langchain_weaviate,langchain_xai,langchainhub,langgraph,langserve,langsmith,lark,lxml,nltk,nomic,numexpr,numpy,ollama,openai,openapi_pydantic,optimum,packaging,pandas,pil,playwright,pydantic,pydantic_core,pygraphviz,pyppeteer,qdrant_client,rapidfuzz,redis,regex,requests,rich,scipy,sentence_transformers,simsimd,spacy,sqlalchemy,streamlit,tenacity,tiktoken,tokenizers,tomli,tomlkit,torch,tqdm,transformers,typer,typing_extensions,upstash_redis,uvicorn",106,0
232,mako,86081845,success,3,"babel,beaker,lingua",4,1
233,jsonpointer,85652089,success,0,,0,0
234,cython,85114505,success,5,"gdb,lxml,pkg_resources,pythran,runtests",5,0
235,traitlets,85043177,success,1,typing_extensions,2,9
236,parso,85000166,success,0,,0,3
237,toml,84545641,success,1,numpy,1,0
238,tokenizers,84356085,success,1,sentencepiece_model_pb2,1,0
239,jedi,84211244,success,3,"numpydoc,pkg_resources,pydoc_data",6,32
240,snowflake-sqlalchemy,83657320,clone_failed,0,,0,0
241,awswrangler,83400966,success,24,"gremlin_python,mypy_boto3_athena,mypy_boto3_cleanrooms,mypy_boto3_dynamodb,mypy_boto3_ec2,mypy_boto3_emr,mypy_boto3_emr_serverless,mypy_boto3_glue,mypy_boto3_kms,mypy_boto3_logs,mypy_boto3_opensearch,mypy_boto3_opensearchserverless,mypy_boto3_quicksight,mypy_boto3_rds_data,mypy_boto3_redshift,mypy_boto3_redshift_data,mypy_boto3_s3,mypy_boto3_secretsmanager,mypy_boto3_sts,mypy_boto3_timestream_query,mypy_boto3_timestream_write,opensearchpy,progressbar,pytz",42,27
242,mypy,82329443,clone_failed,0,,0,0
243,tornado,81436766,success,5,"colorama,pycares,pycurl,twisted,typing_extensions",5,0
244,kubernetes,80299298,success,13,"adal,certifi,dateutil,durationpy,google,httplib,kubernetes_validate,oauthlib,requests,requests_oauthlib,six,urllib3,websocket",13,0
245,email-validator,80293255,success,1,dns,2,3
246,google-cloud-secret-manager,79869860,clone_failed,0,,0,0
247,executing,79796402,success,1,asttokens,1,0
248,grpc-google-iam-v1,79681603,success,12,"fastavro,google,grafeas,grafeas_v1,grpc,pandas,parse_googleapis_content,proto,pyarrow,requests,starlark,synthtool",12,0
249,cachecontrol,79014728,success,1,urllib3,5,4
250,sentry-sdk,78954978,clone_failed,0,,0,0
251,matplotlib-inline,78902822,success,3,"ipython,matplotlib,pil",4,6
252,tinycss2,78391342,success,0,,1,5
253,aiofiles,78258340,success,0,,0,0
254,pkginfo,78216357,no_repo,0,,0,0
255,ply,76170323,no_repo,0,,0,0
256,sympy,76024443,success,31,"aesara,all,antlr4,autolevparser,bpython,cython,flint,get_sympy,gmpy2,helpers,htmlparser,ipython,lark,lxml,matchpy,matplotlib,numpy,pil,pycosat,pydy,pyglet,pymc,pymc3,pysat,requests,requests_oauthlib,sage,scipy,symengine,theano,typing_extensions",32,2
257,nodeenv,75789153,success,3,"configparser,httplib,urllib2",3,0
258,pymysql,75151603,clone_failed,0,,0,0
259,asttokens,75117097,success,1,astroid,1,0
260,markdown,75020093,success,1,importlib_metadata,1,9
261,installer,74955851,success,0,,0,0
262,torch,74911918,clone_failed,0,,0,0
263,isort,73829982,success,1,natsort,2,1
264,uv,73793342,clone_failed,0,,0,0
265,termcolor,73746876,success,0,,0,2
266,gunicorn,73398784,success,4,"greenlet,importlib_metadata,inotify,paste",9,8
267,aliyun-python-sdk-core,72737963,success,164,"aliyunsdkactiontrail,aliyunsdkadb,aliyunsdkadcp,aliyunsdkaddress_purification,aliyunsdkairec,aliyunsdkalb,aliyunsdkalidns,aliyunsdkalikafka,aliyunsdkalimt,aliyunsdkalinlp,aliyunsdkamqp_open,aliyunsdkantiddos_public,aliyunsdkarms,aliyunsdkbrain_industrial,aliyunsdkbrinekingdom,aliyunsdkbssopenapi,aliyunsdkcams,aliyunsdkcas,aliyunsdkcassandra,aliyunsdkcbn,aliyunsdkccc,aliyunsdkcdn,aliyunsdkclickhouse,aliyunsdkcloudapi,aliyunsdkcloudauth,aliyunsdkcloudauth_console,aliyunsdkcloudesl,aliyunsdkcompanyreg,aliyunsdkcomputenest,aliyunsdkcomputenestsupplier,aliyunsdkconfig,aliyunsdkcore,aliyunsdkdas,aliyunsdkdataworks_public,aliyunsdkdbfs,aliyunsdkdbs,aliyunsdkdcdn,aliyunsdkddosbgp,aliyunsdkddoscoo,aliyunsdkdds,aliyunsdkdg,aliyunsdkdms_enterprise,aliyunsdkdomain,aliyunsdkdrds,aliyunsdkdts,aliyunsdkdybaseapi,aliyunsdkdyplsapi,aliyunsdkdypnsapi,aliyunsdkdysmsapi,aliyunsdkdytnsapi,aliyunsdkdyvmsapi,aliyunsdkeais,aliyunsdkeas,aliyunsdkecd,aliyunsdkecs,aliyunsdkedas,aliyunsdkeds_user,aliyunsdkehpc,aliyunsdkeipanycast,aliyunsdkelasticsearch,aliyunsdkemas_appmonitor,aliyunsdkemr,aliyunsdkess,aliyunsdkfacebody,aliyunsdkfnf,aliyunsdkfoas,aliyunsdkft,aliyunsdkga,aliyunsdkgdb,aliyunsdkgovernance,aliyunsdkgpdb,aliyunsdkgreen,aliyunsdkgwlb,aliyunsdkhbase,aliyunsdkhbr,aliyunsdkhitsdb,aliyunsdkice,aliyunsdkidaas_doraemon,aliyunsdkimageaudit,aliyunsdkimageenhan,aliyunsdkimageprocess,aliyunsdkimagerecog,aliyunsdkimageseg,aliyunsdkimgsearch,aliyunsdkimm,aliyunsdkiot,aliyunsdkitag,aliyunsdkivision,aliyunsdkkms,aliyunsdklinkvisual,aliyunsdklinkwan,aliyunsdklive,aliyunsdkltl,aliyunsdkmarket,aliyunsdkmaxcompute,aliyunsdkmns_open,aliyunsdkmoguan_sdk,aliyunsdkmse,aliyunsdkmts,aliyunsdknas,aliyunsdknlb,aliyunsdknlp_automl,aliyunsdkobjectdet,aliyunsdkoceanbasepro,aliyunsdkocr,aliyunsdkoms,aliyunsdkons,aliyunsdkonsmqtt,aliyunsdkoos,aliyunsdkopenanalytics_open,aliyunsdkopensearch,aliyunsdkoutboundbot,aliyunsdkpolardb,aliyunsdkpolardbx,aliyunsdkprivatelink,aliyunsdkpush,aliyunsdkpvtz,aliyunsdkquotas,aliyunsdkr_kvstore,aliyunsdkram,aliyunsdkrds,aliyunsdkreid_cloud,aliyunsdkresourcemanager,aliyunsdkresourcesharing,aliyunsdkretailcloud,aliyunsdkros,aliyunsdkrsimganalys,aliyunsdkrtc,aliyunsdksae,aliyunsdksas,aliyunsdkscdn,aliyunsdkschedulerx2,aliyunsdkscsp,aliyunsdksddp,aliyunsdksgw,aliyunsdkslb,aliyunsdksls,aliyunsdksmartag,aliyunsdksmc,aliyunsdksnsuapi,aliyunsdksts,aliyunsdktag,aliyunsdkthreedvision,aliyunsdkunimkt,aliyunsdkververica,aliyunsdkviapi_regen,aliyunsdkvideoenhan,aliyunsdkvideorecog,aliyunsdkvideoseg,aliyunsdkvod,aliyunsdkvoicenavigator,aliyunsdkvpc,aliyunsdkvpcpeer,aliyunsdkvs,aliyunsdkwaf_openapi,aliyunsdkworkorder,aliyunsdkxtrace,basehttpserver,cryptography,httplib,jmespath,simplehttpserver,simplejson,urlparse",164,0
268,langchain-core,72125318,success,106,"anthropic,async_timeout,bs4,certifi,chromadb,cohere,datasets,defusedxml,elasticsearch,exa_py,fastapi,fastembed,filetype,fireworks,grandalf,gritql,groq,httpx_sse,huggingface_hub,ipython,jinja2,jsonpatch,jsonschema,konlpy,langchain,langchain_anthropic,langchain_astradb,langchain_aws,langchain_azure_ai,langchain_chroma,langchain_classic,langchain_cli,langchain_cohere,langchain_community,langchain_deepseek,langchain_elasticsearch,langchain_exa,langchain_fireworks,langchain_google_genai,langchain_google_vertexai,langchain_groq,langchain_huggingface,langchain_ibm,langchain_milvus,langchain_mistralai,langchain_mongodb,langchain_neo4j,langchain_nomic,langchain_nvidia_ai_endpoints,langchain_ollama,langchain_openai,langchain_perplexity,langchain_pinecone,langchain_postgres,langchain_prompty,langchain_qdrant,langchain_text_splitters,langchain_together,langchain_weaviate,langchain_xai,langchainhub,langgraph,langserve,langsmith,lark,lxml,nltk,nomic,numexpr,numpy,ollama,openai,openapi_pydantic,optimum,packaging,pandas,pil,playwright,pydantic,pydantic_core,pygraphviz,pyppeteer,qdrant_client,rapidfuzz,redis,regex,requests,rich,scipy,sentence_transformers,simsimd,spacy,sqlalchemy,streamlit,tenacity,tiktoken,tokenizers,tomli,tomlkit,torch,tqdm,transformers,typer,typing_extensions,upstash_redis,uvicorn",106,0
269,stack-data,71572770,success,0,,3,3
270,pure-eval,71475587,success,0,,0,3
271,watchfiles,70943775,success,1,trio,2,1
272,mccabe,70889769,success,0,,0,0
273,uvloop,70475209,success,0,,0,11
274,future,69762558,success,48,"anydbm,basehttpserver,cgihttpserver,commands,configparser,cookie,cookielib,copy_reg,cpickle,dialog,dumbdbm,dummy_thread,filedialog,future_builtins,gdbm,htmlentitydefs,htmlparser,httplib,libfuturize,libpasteurize,markupbase,nturl2path,past,queue,repr,robotparser,scrolledtext,simpledialog,simplehttpserver,socketserver,thread,tix,tkcolorchooser,tkcommondialog,tkconstants,tkdnd,tkfiledialog,tkfont,tkinter,tkmessagebox,ttk,urllib2,urlparse,userdict,userlist,userstring,whichdb,xmlrpclib",48,0
275,mpmath,69450554,success,2,"pylab,traitlets",7,19
276,dulwich,69429398,success,6,"cdifflib,gevent,google,nturl2path,pywintypes,win32api",14,13
277,pycodestyle,69352163,no_repo,0,,0,0
278,hf-xet,68999633,success,0,,0,1
279,pytest-asyncio,68409706,success,0,,0,7
280,python-json-logger,67813413,success,0,,3,20
281,grpcio-health-checking,67809736,no_repo,0,,0,0
282,pymongo,67491206,success,14,"backports,bson,certifi,cryptography,dns,gridfs,kerberos,openssl,pymongo_auth_aws,pymongocrypt,requests,service_identity,snappy,winkerberos",14,0
283,poetry,67254491,success,20,"cleo,dulwich,fastjsonschema,findpython,importlib_metadata,installer,keyring,packaging,pkginfo,platformdirs,pyproject_hooks,requests,requests_toolbelt,shellingham,tomli,tomlkit,trove_classifiers,typing_extensions,virtualenv,xattr",22,23
284,crashtest,67170552,success,0,,0,0
285,typing-inspect,66459448,success,0,,2,2
286,pytest-xdist,66363417,success,1,xdist,3,5
287,tiktoken,66297920,clone_failed,0,,0,0
288,editables,65625794,success,0,,0,0
289,httptools,65343774,success,0,,0,0
290,identify,65166975,success,1,ukkonen,1,0
291,debugpy,65087767,success,8,"add_code_to_python_process,attach_script,cx_freeze,importlib_metadata,py2exe,pydevd,pydevd_file_utils,vswhere",8,0
292,jsonpatch,65037793,success,1,jsonpointer,1,0
293,shapely,64650747,success,3,"cx_freeze,py2exe,tomli",5,9
294,asgiref,64519844,clone_failed,0,,0,0
295,docstring-parser,64451135,clone_failed,0,,0,0
296,execnet,64238704,no_repo,0,,0,0
297,aioitertools,64075764,success,0,,1,1
298,cleo,64020313,success,0,,0,0
299,pre-commit,63414380,success,0,,2,6
300,datadog,62984320,success,4,"gevent,google,queue,urllib3",5,3
301,typedload,62933911,no_repo,0,,0,0
302,cfgv,62817221,success,0,,0,0
303,jsonpath-ng,62232833,success,0,,1,1
304,watchdog,61828408,clone_failed,0,,0,0
305,pycryptodome,61726639,success,1,pycryptodome_test_vectors,1,0
306,google-cloud-batch,61608625,clone_failed,0,,0,0
307,smart-open,61518528,success,8,"azure,backports,botocore,google,mypy_boto3_s3,requests_kerberos,typing_extensions,urllib3",12,22
308,msrest,61220110,success,7,"configparser,multidict,oauthlib,requests,trio,urllib3,urlparse",7,6
309,brotli,61179053,success,0,,0,0
310,sphinx,61022746,success,0,,0,18
311,poetry-plugin-export,60709166,success,2,"cleo,packaging",2,2
312,argcomplete,60167099,clone_failed,0,,0,0
313,rfc3339-validator,60157153,success,1,six,1,0
314,notebook,59567077,success,3,"jupyter_client,jupyter_core,traitlets",8,21
315,pendulum,59331042,success,2,"typing_extensions,zoneinfo",4,3
316,scramp,58985565,success,0,,1,1
317,types-python-dateutil,58468966,clone_failed,0,,0,0
318,lz4,58110897,success,0,,0,1
319,dbt-core,57893353,success,24,"agate,attr,cdecimal,daff,dateutil,dbt,dbt_common,dbt_extractor,dbt_semantic_interfaces,dbtlabs,ipdb,jinja2,jsonschema,mashumaro,msgpack,networkx,packaging,pathspec,pydantic,pytz,requests,snowplow_tracker,sqlparse,typing_extensions",24,0
320,dbt-adapters,57879909,clone_failed,0,,0,0
321,azure-common,57789700,success,79,"adal,agent_framework,aio,avro,azure,azureml,bytecode,cchardet,certifi,chardet,charset_normalizer,ci_tools,cloudevents,colorama,common_tasks,corehttp,cryptography,dns,docker,dotenv,gh_tools,httpcore,infra,ipython,isodate,jinja2,jsonschema,jwt,key_vault_base,key_vault_base_async,langchain_azure_ai,langchain_core,langgraph,makefun,marshmallow,mcp,mldesigner,msal,msal_extensions,msrest,msrestazure,multidict,nltk,openai,opentelemetry,packaging,pandas,pkg_resources,prep_sphinx_env,process_monitor,promptflow,psutil,pydantic,pydash,pypi_tools,pyrit,pyspark,requests,ruamel,run_sphinx_apidoc,semantic_kernel,six,smoke_test,smoke_test_async,starlette,strictyaml,tenacity,tox_helper_tasks,tqdm,trio,typing_extensions,uamqp,urllib2,urllib3,urlparse,uvicorn,verify_whl,websocket,yarl",79,0
322,dbt-common,57744389,clone_failed,0,,0,0
323,databricks-sdk,57391014,no_repo,0,,0,0
324,jupyter-core,57128707,success,4,"argcomplete,ntsecuritycon,win32api,win32security",6,12
325,py,56803619,no_repo,0,,0,0
326,slack-sdk,56789490,success,7,"botocore,onboarding_tutorial,slack,slack_bolt,sqlalchemy,websocket,websockets",7,0
327,pytest-mock,56742297,success,0,,0,4
328,arrow,56625105,success,2,"backports,zoneinfo",3,15
329,google-analytics-admin,56277313,clone_failed,0,,0,0
330,backports-tarfile,56143639,success,0,,0,10
331,ipykernel,55174163,success,7,"gi,gobject,gtk,pyqt6,pyside2,wx,zmq",23,32
332,requests-file,55022567,no_repo,0,,0,0
333,databricks-sql-connector,54736610,success,12,"databricks,dateutil,jwt,lz4,oauthlib,pandas,pyarrow,requests,requests_kerberos,six,thrift,urllib3",12,0
334,google-cloud-aiplatform,54371413,success,61,"a2a,absl,attr,autogen,bigframes,cloudpickle,docker,docstring_parser,explainable_ai_sdk,fastapi,google,google3,grpc,ipython,jinja2,joblib,jsonschema,kfp,langchain,langchain_core,langchain_google_vertexai,langgraph,langgraph_checkpoint,lit_nlp,litellm,llama_index,mlflow,nest_asyncio,numpy,openinference,opentelemetry,packaging,pandas,pil,plotly,proto,pyarrow,pydantic,ray,requests,requests_toolbelt,ruamel,sentencepiece,sklearn,starlette,synthtool,tensorboard,tensorboard_plugin_profile,tensorflow,tensorflow_data_validation,tensorflow_metadata,torch,tqdm,typing_extensions,urllib3,uvicorn,vertexai,vizier,websockets,werkzeug,xgboost",61,0
335,dataclasses-json,54228917,success,2,"marshmallow,typing_inspect",2,0
336,httpx-sse,53958838,success,0,,0,0
337,jupyter-client,53291137,success,5,"ipython,netifaces,pexpect,psutil,zmq",11,21
338,multiprocess,52937503,success,4,"dill,pypy,rpython,version",4,0
339,pyflakes,52808176,success,0,,0,0
340,comm,52791813,success,2,"ipython,zmq",2,1
341,redshift-connector,52744124,success,10,"boto3,botocore,bs4,dateutil,numpy,packaging,pandas,pkg_resources,requests,scramp",10,0
342,semver,52629849,success,0,,0,0
343,mistune,52609898,clone_failed,0,,0,0
344,nvidia-nccl-cu12,51693665,no_repo,0,,0,0
345,pygithub,51323482,success,3,"github,jwt,nacl",6,5
346,google-cloud-pubsub,50907075,success,8,"gcp_devrel,google,grpc,grpc_status,opentelemetry,proto,requests,synthtool",8,0
347,bashlex,50350640,success,0,,0,1
348,xlsxwriter,50164902,success,7,"atheris,fuzz_helpers,openpyxl,pyexcelerate,pympler,typing_extensions,xlwt",7,0
349,text-unidecode,49879431,success,0,,0,0
350,typeguard,49576562,success,1,typeshed,3,2
351,mcp,49504549,success,6,"jwt,pydantic_core,pywintypes,win32api,win32con,win32job",20,18
352,cattrs,49401267,success,1,bson,10,11
353,invoke,49142412,success,5,"alabaster,fluidity,invocations,lexicon,shared_conf",5,0
354,bleach,49092981,success,1,tinycss2,1,0
355,pyspark,48762196,clone_failed,0,,0,0
356,lark,48691812,clone_failed,0,,0,0
357,h2,48348599,success,1,graphviz,3,2
358,pysocks,48064028,success,4,"httplib,socks,urllib2,win_inet_pton",4,0
359,nbformat,48037440,clone_failed,0,,0,0
360,durationpy,47936174,clone_failed,0,,0,0
361,flake8,47934407,success,0,,2,5
362,pymupdf,47798915,success,11,"cppyy,fitz,fitz_old,fonttools,mupdf,mupdf_cppyy,pandas,pil,pipcl,pymupdf_fonts,wdev",11,0
363,loguru,47463966,clone_failed,0,,0,0
364,swe-rex,47446582,success,4,"botocore,starlette,swerex,typing_extensions",13,23
365,zope-interface,47328927,success,1,zope,1,6
366,snowflake-snowpark-python,47314130,clone_failed,0,,0,0
367,deepdiff,47284425,success,10,"clevercsv,colorama,jsonpickle,numpy,pandas,polars,pydantic,pytz,tomli,tomli_w",12,27
368,pbs-installer,47236347,success,0,,1,3
369,python-slugify,47185460,success,1,unidecode,2,1
370,hyperframe,47111441,success,0,,0,0
