rank,package_name,downloads,status,phantom_count,phantom_deps,total_imports,total_declared,repo_url
534,mypy-boto3-s3,30264057,success,5,"pytest,pytest-mock,twine,types-aiobotocore-s3,types-boto3-s3",18,16,https://github.com/youtype/mypy_boto3_builder
535,python-utils,30233281,success,7,"-typeshed,blessings,ipykernel,ipython,pytest,setuptools,typing-extensions",9,1,https://github.com/WoLpH/python-utils
536,pymssql,30137811,success,2,"distutils,tomli",6,14,https://github.com/pymssql/pymssql
537,apache-beam,30035494,no_repo,0,,0,0,
538,ordered-set,29990481,success,1,setuptools,1,3,https://github.com/rspeer/ordered-set
539,asyncpg,29969802,success,6,"cython,pkg-resources,requests,setuptools,typing-extensions,uvloop",8,3,https://github.com/MagicStack/asyncpg
540,jupyter-lsp,29886064,success,25,"black,importlib-metadata,ipython,isort,jedi,jinja2,jsonschema,jupyter-core,jupyter-server,jupyterlab,nbconvert,nbformat,pabot,packaging,parso,pytest,robot,ruamel,ruamel-yaml,selenium,seleniumlibrary,setuptools,tornado,traitlets,typing-extensions",29,0,https://github.com/jupyter-lsp/jupyterlab-lsp
541,freezegun,29697021,success,3,"pymysql,setuptools,typing-extensions",5,5,https://github.com/spulec/freezegun
542,google-cloud-bigquery-datatransfer,29692702,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
543,polars,29611334,success,9,"arrow-odbc,azure,extend-polars,google,ipython,marimo,rmm,tornado,typing-extensions",37,58,https://github.com/pola-rs/polars
544,gspread,29610770,success,2,"google,requests",3,2,https://github.com/burnash/gspread
545,appdirs,29584355,success,4,"-winreg,com,distutils,setuptools",4,0,https://github.com/ActiveState/appdirs
546,acme,29558321,success,17,"augeas,azure,digitalocean,dns,google,googleapiclient,lexicon,ntsecuritycon,pywintypes,win32api,win32com,win32con,win32console,win32file,win32security,winerror,zope",45,214,https://github.com/certbot/certbot
547,trio-websocket,29433592,success,1,setuptools,7,77,https://github.com/python-trio/trio-websocket
548,django,29423618,clone_failed,0,,18,5,https://github.com/django/django
549,amqp,29379896,success,4,"gssapi,pytest,setuptools,vine",6,0,https://github.com/celery/py-amqp
550,vine,29316787,success,2,"pytest,setuptools",3,0,https://github.com/celery/vine
551,click-didyoumean,29209415,success,0,,1,1,https://github.com/click-contrib/click-didyoumean
552,certbot-dns-cloudflare,29138715,success,17,"augeas,azure,digitalocean,dns,google,googleapiclient,lexicon,ntsecuritycon,pywintypes,win32api,win32com,win32con,win32console,win32file,win32security,winerror,zope",45,214,https://github.com/certbot/certbot
553,pypandoc-binary,28967078,success,2,"hatchling,tomli",4,1,https://github.com/JessicaTegner/pypandoc
554,flask-cors,28904585,success,0,,2,2,https://github.com/corydolphin/flask-cors
555,azure-storage-file-datalake,28858399,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
556,opentelemetry-instrumentation-asgi,28798552,success,19,"agents,aiormq,astor,billiard,elastic-transport,gevent,google,hatchling,langchain-core,mcp,multidict,mysqldb,opentelemetry,readme-renderer,snappy,tomli,tomli-w,tortoise,yarl",71,131,https://github.com/open-telemetry/opentelemetry-python-contrib
557,sagemaker,28714645,success,25,"accelerate,attr,beautifulsoup4,conda-pack,docker,fastapi,feature-store-pyspark,huggingface-hub,joblib,py4j,pydantic-core,python-dateutil,pyvis,scikit-learn,sentence-transformers,six,smexperiments,tenacity,tensorflow,tf2onnx,torchvision,triton-python-backend-utils,urllib3,uvicorn,xgboost",66,59,https://github.com/aws/sagemaker-python-sdk
558,google-cloud-texttospeech,28644123,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
559,rich-toolkit,28535665,no_repo,0,,0,0,
560,google-ads,28445493,clone_failed,0,,4,9,https://github.com/googleads/google-ads-python
561,tinyhtml5,28350935,success,0,,1,5,https://github.com/CourtBouillon/tinyhtml5
562,google-cloud-orchestration-airflow,28197360,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
563,tensorflow,28183626,clone_failed,0,,0,0,https://github.com/tensorflow/tensorflow
564,langchain-google-vertexai,28123873,success,12,"aiohttp,google,googleapiclient,numpy,packaging,proto,pypdf2,requests,tenacity,tomli,typing-extensions,vertexai",31,40,https://github.com/langchain-ai/langchain-google
565,purecloudplatformclientv2,28117737,no_repo,0,,0,0,
566,google-cloud-automl,28088990,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
567,google-cloud-dataproc-metastore,27964522,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
568,google-cloud-bigquery-storage,27842185,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
569,click-repl,27823209,success,4,"click,prompt-toolkit,setuptools,typing-extensions",4,0,https://github.com/untitaker/click-repl
570,opentelemetry-instrumentation-fastapi,27805678,success,19,"agents,aiormq,astor,billiard,elastic-transport,gevent,google,hatchling,langchain-core,mcp,multidict,mysqldb,opentelemetry,readme-renderer,snappy,tomli,tomli-w,tortoise,yarl",71,131,https://github.com/open-telemetry/opentelemetry-python-contrib
571,fastavro,27707506,success,8,"avro,backports,cramjam,cython,lz4,pytz,setuptools,snappy",9,0,https://github.com/fastavro/fastavro
572,google-cloud-dataproc,27699848,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
573,sendgrid,27595559,success,3,"rfc822,setuptools,werkzeug",11,6,https://github.com/sendgrid/sendgrid-python
574,torchvision,27540114,success,25,"accimage,aiofiles,aiohttp,auditwheel,av,defusedxml,distutils,gdown,h5py,ipython,lmdb,matplotlib,numpy,packaging,pandas,pillow,pycocotools,pytorch,requests,scipy,setuptools,torch,torchdata,torchvision-extra-decoders,tqdm",42,0,https://github.com/pytorch/vision
575,libcst,27229012,success,4,"libcst-native,setuptools,setuptools-rust,yaml-ft",7,3,https://github.com/Instagram/LibCST
576,nh3,27187382,success,0,,0,0,https://github.com/messense/nh3
577,google-cloud-run,27175731,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
578,mashumaro,27045683,success,1,cattr,17,29,https://github.com/Fatal1ty/mashumaro
579,fastapi-cli,26962465,success,3,"fastapi,pydantic,rich",10,6,https://github.com/fastapi/fastapi-cli
580,jsonschema-path,26961043,success,0,,6,5,https://github.com/p1c2u/jsonschema-path
581,graphviz,26762879,success,4,"flake8,mypy,pytest,sphinx",5,0,https://github.com/xflr6/graphviz
582,mlflow,26751948,clone_failed,0,,125,58,https://github.com/mlflow/mlflow
583,html5lib,26609448,success,4,"-markerlib,cgi,pkg-resources,pyperf",11,11,https://github.com/html5lib/html5lib-python
584,gremlinpython,26482121,no_repo,0,,0,0,
585,pydata-google-auth,26478980,success,6,"configparser,cx-freeze,distutils,google,oauthlib,py2exe",11,7,https://github.com/pydata/pydata-google-auth
586,openapi-spec-validator,26353604,success,0,,7,6,https://github.com/python-openapi/openapi-spec-validator
587,graphql-relay,26276099,success,2,"graphql,setuptools",4,2,https://github.com/graphql-python/graphql-relay-py
588,duckdb,26252453,success,10,"-duckdb,cxxheaderparser,ipywidgets,polars,pyotp,pytz,requests,scikit-build-core,typing-extensions,urllib3",24,6,https://github.com/duckdb/duckdb-python
589,pytimeparse,26247765,success,1,setuptools,1,0,https://github.com/wroberts/pytimeparse
590,pyee,26196513,success,0,,4,114,https://github.com/jfhbrook/pyee
591,tb-nightly,25995679,success,15,"absl,bleach,botocore,google,grpc,grpc-testing,httplib,ipython,selenium,tensorboard-plugin-profile,tensorboard-plugin-wit,tensorflow,tensorflow-io,testing,urlparse",26,19,https://github.com/tensorflow/tensorboard
592,orderly-set,25993473,success,1,ordered-set,2,10,https://github.com/seperman/orderly-set
593,onnxruntime,25914592,clone_failed,0,,0,0,https://github.com/microsoft/onnxruntime
594,ninja,25897152,success,2,"nox,scikit-build-core",3,0,https://github.com/scikit-build/ninja-python-distributions
595,graphene,25883667,success,6,"graphql,graphql-relay,pytest,python-dateutil,setuptools,typing-extensions",8,0,https://github.com/graphql-python/graphene
596,fastmcp,25813422,clone_failed,0,,20,16,https://github.com/PrefectHQ/fastmcp
597,ijson,25807669,success,2,"cffi,setuptools",3,0,https://github.com/ICRAR/ijson
598,types-pytz,25745534,success,1,urllib3,5,9,https://github.com/typeshed-internal/stub_uploader
599,google-cloud-dataflow-client,25664565,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
600,pbr,25364941,no_repo,0,,0,0,
601,snowballstemmer,25297952,success,1,setuptools,2,0,https://github.com/snowballstem/snowball
602,pytzdata,25284934,success,3,"cleo,distutils,pkg-resources",4,0,https://github.com/sdispater/pytzdata
603,mlflow-skinny,25255520,clone_failed,0,,126,58,https://github.com/mlflow/mlflow
604,simple-salesforce,25085259,success,2,"jwt,setuptools",6,22,https://github.com/simple-salesforce/simple-salesforce
605,prettytable,25033878,success,3,"-typeshed,colorama,typing-extensions",5,6,https://github.com/prettytable/prettytable
606,schema,24970017,success,3,"mock,pytest,setuptools",5,1,https://github.com/keleshev/schema
607,psycopg-binary,24949891,clone_failed,0,,10,0,https://github.com/psycopg/psycopg
608,playwright,24949847,clone_failed,0,,3,2,https://github.com/microsoft/playwright-python
609,entrypoints,24936340,success,0,,1,0,https://github.com/takluyver/entrypoints
610,semantic-version,24930380,clone_failed,0,,2,0,https://github.com/rbarrois/python-semanticversion
611,ujson,24888543,success,2,"setuptools,setuptools-scm",2,0,https://github.com/ultrajson/ultrajson
612,oscrypto,24877325,success,12,"-manylinux,asn1crypto,cffi,cgi,commonmark,cstringio,flake8,imp,oscrypto-tests,setuptools,twine,urllib2",15,0,https://github.com/wbond/oscrypto
613,mergedeep,24875121,success,1,setuptools,2,0,https://github.com/clarketm/mergedeep
614,mock,24768155,success,2,"blurb,setuptools",3,0,https://github.com/testing-cabal/mock
615,lockfile,24759242,no_repo,0,,0,0,
616,moto,24739805,success,27,"antlr4,aws-cdk,aws-xray-sdk,awscrt,boto3,botocore,cfnlint,crc32c,cryptography,docker,flask,flask-cors,graphql,joserfc,jsonpath-ng,jsonschema,localstack,multipart,openapi-spec-validator,py-partiql-parser,pyparsing,pyyaml,requests,setuptools,urllib3,werkzeug,xmltodict",41,24,https://github.com/getmoto/moto
617,agate,24717827,success,2,"proof,slugify",8,13,https://github.com/wireservice/agate
618,tox,24679214,success,6,"-pytest,coverage,docutils,git,hatchling,re-assert",23,16,https://github.com/tox-dev/tox
619,pycountry,24669902,success,0,,1,0,https://github.com/pycountry/pycountry
620,statsmodels,24635278,success,22,"-pytest,black,cvxopt,dateparser,enthought,github,ipython,jupyter-client,models,nbformat,nitime,numdifftools,pygments,python-dateutil,scikit-learn,scikits,setuptools,sympy,traitlets,typing-extensions,virtualenv,yapf",40,41,https://github.com/statsmodels/statsmodels
621,userpath,24623570,clone_failed,0,,0,0,https://github.com/sponsors/ofek
622,pytest-timeout,24617333,success,3,"pexpect,pytest,setuptools",4,0,https://github.com/pytest-dev/pytest-timeout
623,tf-keras-nightly,24588881,success,9,"absl,attr,google,ipython,memory-profiler,pydot-ng,pydotplus,tensorflow,tensorflow-estimator",23,76,https://github.com/keras-team/tf-keras
624,ml-dtypes,24574369,success,0,,2,6,https://github.com/jax-ml/ml_dtypes
625,rfc3987-syntax,24513912,success,0,,2,2,https://github.com/willynilly/rfc3987-syntax
626,retrying,24479209,success,1,setuptools,2,0,https://github.com/groodt/retrying
627,pkgutil-resolve-name,24448509,success,0,,0,0,https://github.com/graingert/pkgutil-resolve-name
628,pywin32,24441895,success,41,"-main-,-typeshed,-win32sysloader,-winxptheme,calltipwindow,dde,distutils,exchange,mmapfile,opengl,pywin32-system32,scripts,servicemanager,setuptools,timer,typing-extensions,win32api,win32clipboard,win32comext,win32console,win32cred,win32event,win32evtlog,win32file,win32gui,win32help,win32net,win32pdh,win32pipe,win32print,win32process,win32profile,win32ras,win32security,win32service,win32trace,win32transaction,win32ts,win32ui,win32uiole,win32wnet",77,0,https://github.com/mhammond/pywin32
629,pypdf,24357426,success,1,rich,7,16,https://github.com/py-pdf/pypdf
630,sqlglot,24285539,success,14,"moz-sql-parser,mypy-extensions,mypyc,pdoc,polyglot-sql,pyperf,python-dateutil,sqlfluff,sqlglotc,sqlglotrs,sqloxide,sqlparse,sqltree,typing-extensions",17,3,https://github.com/tobymao/sqlglot
631,hvac,24243815,success,1,hcl,3,2,https://github.com/hvac/hvac
632,great-expectations,24182374,clone_failed,0,,0,0,https://github.com/great-expectations/great_expectations
633,tblib,24048504,success,1,jinja2,2,5,https://github.com/ionelmc/python-tblib
634,pytest-metadata,23795291,success,2,"-pytest,pluggy",4,5,https://github.com/pytest-dev/pytest-metadata
635,parse,23793265,success,0,,0,0,https://github.com/r1chardj0n3s/parse
636,databricks-sqlalchemy,23752064,success,1,alembic,3,3,https://github.com/databricks/databricks-sqlalchemy
637,google-cloud-spanner,23685629,clone_failed,0,,11,0,https://github.com/googleapis/google-cloud-python
638,zope-event,23605924,success,2,"setuptools,zope",2,2,https://github.com/zopefoundation/zope.event
639,oss2,23511301,no_repo,0,,0,0,
640,dbt-protos,23432053,success,4,"dbtlabs,google,grpc,setuptools",4,0,https://github.com/dbt-labs/proto-python-public
641,readme-renderer,23420982,success,0,,5,4,https://github.com/pypa/readme_renderer
642,unidecode,23297782,no_repo,0,,0,0,
643,pipenv,23280991,clone_failed,0,,6,17,https://github.com/pypa/pipenv
644,gast,23267752,success,2,"distutils,setuptools",4,0,https://github.com/serge-sans-paille/gast
645,openapi-schema-validator,23119416,success,0,,8,7,https://github.com/python-openapi/openapi-schema-validator
646,patsy,23102541,clone_failed,0,,6,4,https://github.com/pydata/patsy
647,aiosqlite,22876724,success,0,,0,12,https://github.com/omnilib/aiosqlite
648,pathos,22817430,success,10,"dill,distutils,mpi4py,multiprocess,mystic,numpy,pox,ppft,pyina,setuptools",15,0,https://github.com/uqfoundation/pathos
649,dateparser,22513190,success,11,"atheris,convertdate,git,hijridate,pytest-flake8,python-dateutil,pytz,regex,ruamel,setuptools,tzlocal",18,4,https://github.com/scrapinghub/dateparser
650,pathable,22378616,success,0,,1,0,https://github.com/p1c2u/pathable
651,tldextract,22321850,success,0,,6,18,https://github.com/john-kurkowski/tldextract
652,python-jose,22206069,success,1,setuptools,6,12,https://github.com/mpdavis/python-jose
653,nvidia-cufile-cu12,22067621,no_repo,0,,0,0,
654,pytest-rerunfailures,21999356,success,3,"-pytest,setuptools,xdist",5,2,https://github.com/pytest-dev/pytest-rerunfailures
655,mdit-py-plugins,21989280,success,1,markdown-it,2,9,https://github.com/executablebooks/mdit-py-plugins
656,aws-requests-auth,21964971,success,2,"setuptools,urlparse",4,3,https://github.com/davidmuller/aws-requests-auth
657,parsedatetime,21911062,success,2,"pyicu,setuptools",2,0,https://github.com/bear/parsedatetime
658,cramjam,21834877,clone_failed,0,,0,6,https://github.com/milesgranger/pyrus-cramjam
659,tensorboard-data-server,21760011,clone_failed,0,,0,0,https://github.com/tensorflow/tensorboard
660,ddtrace,21699844,clone_failed,0,,0,0,https://github.com/DataDog/dd-trace-py
661,sphinxcontrib-serializinghtml,21666595,success,1,sphinxcontrib,2,5,https://github.com/sphinx-doc/sphinxcontrib-serializinghtml
662,opt-einsum,21602236,no_repo,0,,0,0,
663,twine,21585501,success,0,,10,9,https://github.com/pypa/twine
664,pox,21579044,success,2,"distutils,setuptools",4,0,https://github.com/uqfoundation/pox
665,yamllint,21531549,success,0,,3,2,https://github.com/adrienverge/yamllint
666,ppft,21523640,success,5,"configobj,dill,distutils,setuptools,six",7,0,https://github.com/uqfoundation/ppft
667,azure-datalake-store,21406427,clone_failed,0,,4,2,https://github.com/Azure/azure-data-lake-store-python
668,dask,21279155,clone_failed,0,,45,23,https://github.com/dask/dask
669,kafka-python,21278278,clone_failed,0,,15,9,https://github.com/dpkp/kafka-python
670,astronomer-cosmos,21218925,clone_failed,0,,26,39,https://github.com/astronomer/astronomer-cosmos
671,alabaster,21162165,success,1,pygments,1,0,https://github.com/sphinx-doc/alabaster
672,imagesize,21157179,success,3,"image,pillow,setuptools",4,0,https://github.com/shibukawa/imagesize_py
673,diskcache,21145899,success,1,setuptools,4,22,https://github.com/grantjenks/python-diskcache
674,pyperclip,21140189,success,4,"appkit,foundation,pyqt5,qtpy",5,0,https://github.com/asweigart/pyperclip
675,elastic-transport,21126150,success,7,"certifi,importlib-metadata,nox,opentelemetry,orjson,setuptools,sniffio",12,4,https://github.com/elastic/elastic-transport-python
676,azure-cosmos,21061221,clone_failed,0,,79,0,https://github.com/Azure/azure-sdk-for-python
677,python-http-client,20964543,success,3,"distutils,setuptools,urllib2",3,1,https://github.com/sendgrid/python-http-client
678,pip-tools,20958539,success,1,typing-extensions,7,16,https://github.com/jazzband/pip-tools
679,msrestazure,20924793,success,4,"msrest,pip,requests,urlparse",4,3,https://github.com/Azure/msrestazure-for-python
680,tableauserverclient,20823696,success,2,"setuptools,versioneer",8,14,https://github.com/tableau/server-client-python
681,llama-parse,20805710,no_repo,0,,0,0,
682,validators,20802960,success,1,pypandoc,3,44,https://github.com/python-validators/validators
683,wandb,20760659,success,23,"-builtin-,-watchdog-fsevents,-winreg,appkit,argh,azure,cstringio,ctags,cyordereddict,dill,fire,git,google,hatchling,nox,opencv-python,pkg-resources,pyannotate-runtime,queue,select-backport,sphinx,watchdog,xpu",95,366,https://github.com/wandb/wandb
684,holidays,20706642,success,8,"git,github,hijridate,lingva,pdfplumber,polib,requests,urllib3",10,1,https://github.com/vacanza/holidays
685,mmh3,20661535,success,0,,6,17,https://github.com/hajimes/mmh3
686,pybind11,20640068,success,6,"distutils,ghapi,nox,rich,setuptools,tomlkit",7,0,https://github.com/pybind/pybind11
687,smdebug-rulesconfig,20611911,success,1,setuptools,2,0,https://github.com/awslabs/sagemaker-debugger-rulesconfig
688,google-cloud-firestore,20604171,clone_failed,0,,6,0,https://github.com/googleapis/google-cloud-python
689,dbt-semantic-interfaces,20597434,no_repo,0,,0,0,
690,looker-sdk,20528047,no_repo,0,,0,0,
691,streamlit,20524126,success,34,"-pytest,-testcapi,-typeshed,bokeh,cryptography,emoji,extra-streamlit-components,folium,git,google,joserfc,pixelmatch,playwright,polars,psutil,pytest,pytz,seaborn,semver,snowflake,st-aggrid,streamlit-ace,streamlit-antd-components,streamlit-autorefresh,streamlit-bokeh,streamlit-chat,streamlit-echarts,streamlit-folium,streamlit-option-menu,streamlit-url-fragment,sympy,tensorflow,tomli,xarray",69,38,https://github.com/streamlit/streamlit
692,scikit-image,20517638,success,10,"click,docutils,imread,jinja2,mpl-toolkits,osgeo,python-dateutil,pywt,sympy,visvis",37,49,https://github.com/scikit-image/scikit-image
693,cron-descriptor,20428226,success,1,setuptools,4,5,https://github.com/Salamek/cron-descriptor
694,keras,20329206,success,14,"absl,google,huggingface-hub,ipython,keras-nlp,matplotlib,opencv-python,psutil,pydot,pydot-ng,pydotplus,tensorflow-datasets,tensorflow-io,tf-keras",42,40,https://github.com/keras-team/keras
695,gcloud-aio-bigquery,20324218,success,4,"gcloud,jwt,pyasn1,requests",11,10,https://github.com/talkiq/gcloud-aio
696,gcloud-aio-auth,20276673,success,4,"gcloud,jwt,pyasn1,requests",11,10,https://github.com/talkiq/gcloud-aio
697,dacite,20115734,success,2,"setuptools,typing-extensions",3,0,https://github.com/konradhalas/dacite
698,sphinxcontrib-htmlhelp,20062648,success,1,docutils,2,6,https://github.com/sphinx-doc/sphinxcontrib-htmlhelp
699,bytecode,20055430,success,0,,2,4,https://github.com/MatthieuDartiailh/bytecode
700,sphinxcontrib-applehelp,19971708,success,0,,1,5,https://github.com/sphinx-doc/sphinxcontrib-applehelp
701,sphinxcontrib-qthelp,19959884,success,1,docutils,2,6,https://github.com/sphinx-doc/sphinxcontrib-qthelp
702,sphinxcontrib-devhelp,19946825,success,1,docutils,2,5,https://github.com/sphinx-doc/sphinxcontrib-devhelp
703,leather,19881225,no_repo,0,,0,0,
704,apache-airflow-providers-cncf-kubernetes,19873275,success,71,"-pytest,-typeshed,airflow-client,airflow-shared,anyio,arango,attr,bson,certifi,colorama,daemon,datamodel-code-generator,docx,dotenv,elastic-transport,fastapi-cli,flask-babel,flask-jwt-extended,gcloud,github3,googleapiclient,gremlin-python,hatchling,httpcore,influxdb-client-3,jpype,jupyter-client,jwt,kiota-abstractions,kiota-authentication-azure,kiota-http,kiota-serialization-json,kiota-serialization-text,kombu,langchain-community,langchain-core,langchain-text-splitters,ldap,llama-index,markupsafe,msal,msrest,msrestazure,mypy-boto3-appflow,mypy-boto3-rds,mypy-boto3-redshift-data,mypy-boto3-s3,mypy-boto3-verifiedpermissions,mysqldb,odps,onelogin,openapi-spec-validator,opensearchpy,opentelemetry,performance-dags,prestodb,proto,psycopg2,pydantic-core,pymysql,pytz,requests-gssapi,slugify,smbclient,thrift,traitlets,unit,upath,vertex-ray,vertexai,watchfiles",306,528,https://github.com/apache/airflow
705,dbt-extractor,19850677,success,1,tree-sitter,1,0,https://github.com/dbt-labs/dbt-parser-generator
706,gym-notices,19725017,success,1,setuptools,1,0,https://github.com/Farama-Foundation/gym-notices
707,apache-airflow-providers-snowflake,19724949,success,71,"-pytest,-typeshed,airflow-client,airflow-shared,anyio,arango,attr,bson,certifi,colorama,daemon,datamodel-code-generator,docx,dotenv,elastic-transport,fastapi-cli,flask-babel,flask-jwt-extended,gcloud,github3,googleapiclient,gremlin-python,hatchling,httpcore,influxdb-client-3,jpype,jupyter-client,jwt,kiota-abstractions,kiota-authentication-azure,kiota-http,kiota-serialization-json,kiota-serialization-text,kombu,langchain-community,langchain-core,langchain-text-splitters,ldap,llama-index,markupsafe,msal,msrest,msrestazure,mypy-boto3-appflow,mypy-boto3-rds,mypy-boto3-redshift-data,mypy-boto3-s3,mypy-boto3-verifiedpermissions,mysqldb,odps,onelogin,openapi-spec-validator,opensearchpy,opentelemetry,performance-dags,prestodb,proto,psycopg2,pydantic-core,pymysql,pytz,requests-gssapi,slugify,smbclient,thrift,traitlets,unit,upath,vertex-ray,vertexai,watchfiles",306,528,https://github.com/apache/airflow
708,msgspec,19661376,success,12,"attrs,cattrs,mashumaro,orjson,ormsgpack,pydantic,rapidjson,requests,setuptools,simdjson,typing-extensions,ujson",17,3,https://github.com/jcrist/msgspec
709,semgrep,19637026,success,11,"attr,distutils,github,httpx,jwt,opentelemetry,pydantic,pyyaml,setuptools,starlette,wheel",33,31,https://github.com/semgrep/semgrep
710,opentelemetry-instrumentation-logging,19625186,success,19,"agents,aiormq,astor,billiard,elastic-transport,gevent,google,hatchling,langchain-core,mcp,multidict,mysqldb,opentelemetry,readme-renderer,snappy,tomli,tomli-w,tortoise,yarl",71,131,https://github.com/open-telemetry/opentelemetry-python-contrib
711,jira,19622726,success,1,magic,14,35,https://github.com/pycontribs/jira
712,hyperlink,19607849,success,2,"idna,setuptools",3,0,https://github.com/python-hyper/hyperlink
713,azure-mgmt-resource,19580093,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
714,linkify-it-py,19578020,success,1,uc-micro,3,13,https://github.com/tsutsu3/linkify-it-py
715,python-telegram-bot,19553027,success,2,"chango,pytz",9,9,https://github.com/python-telegram-bot/python-telegram-bot
716,opencv-python-headless,19549956,success,5,"auditwheel,packaging,pip,setuptools,skbuild",5,0,https://github.com/opencv/opencv-python
717,envier,19495437,success,0,,2,1,https://github.com/DataDog/envier
718,llama-cloud-services,19462116,no_repo,0,,0,0,
719,bs4,19439359,no_repo,0,,0,0,
720,pyright,19416731,success,3,"nodejs-wheel,packaging,setuptools",5,2,https://github.com/RobertCraigie/pyright-python
721,mysqlclient,19368564,success,1,setuptools,2,6,https://github.com/PyMySQL/mysqlclient
722,types-setuptools,19277284,success,1,urllib3,5,9,https://github.com/typeshed-internal/stub_uploader
723,uc-micro-py,19198629,success,0,,0,3,https://github.com/tsutsu3/uc.micro-py
724,flask-sqlalchemy,19037936,success,0,,2,2,https://github.com/pallets-eco/flask-sqlalchemy
725,pypdf2,19024792,success,1,rich,7,16,https://github.com/py-pdf/PyPDF2
726,python-magic,18991777,clone_failed,0,,0,0,https://github.com/ahupp/python-magic
727,google-cloud-datacatalog,18966488,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
728,sphinxcontrib-jsmath,18946856,no_repo,0,,0,0,
729,flask-limiter,18906790,success,2,"click,werkzeug",9,5,https://github.com/alisaifee/flask-limiter
730,tree-sitter,18829766,success,1,setuptools,1,7,https://github.com/tree-sitter/py-tree-sitter
731,azure-storage-queue,18779174,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
732,azure-mgmt-storage,18746572,clone_failed,0,,0,0,https://github.com/Azure/azure-sdk-for-python
733,types-urllib3,18587344,success,1,urllib3,5,9,https://github.com/typeshed-internal/stub_uploader
734,inflect,18540373,success,0,,3,16,https://github.com/jaraco/inflect
735,cached-property,18495687,success,4,"distutils,setuptools,twine,wheel",4,4,https://github.com/pydanny/cached-property
736,stevedore,18471839,no_repo,0,,0,0,
737,sqlalchemy-utils,18433582,success,0,,14,25,https://github.com/kvesteri/sqlalchemy-utils
738,argparse,18408759,success,2,"sets,setuptools",2,0,https://github.com/ThomasWaldmann/argparse
739,textual,18352005,success,5,"-typeshed,httpx,markdown-it,textual-dev,textual-speedups",12,22,https://github.com/Textualize/textual
740,texttable,18305539,success,3,"cjkwrap,setuptools,wcwidth",4,0,https://github.com/foutaise/texttable
741,emoji,18184600,success,1,htmlmin,8,8,https://github.com/carpedm20/emoji
742,accelerate,18176375,success,47,"aim,bitsandbytes,boto3,clearml,comet-ml,datasets,dvclive,evaluate,github,habana-frameworks,huggingface-hub,intel-transformer-engine,lomo-optim,manim,matplotlib,megatron,mlflow,msamp,numpy,packaging,peft,pretrain-bert,pretrain-gpt,pretrain-t5,psutil,pynvml,pytest,pyyaml,safetensors,setuptools,slack-sdk,smdistributed,swanlab,tabulate,tensorboardx,timm,torch,torch-mlu,torch-musa,torch-neuronx,torch-npu,torch-sdaa,torchao,torchdata,trackio,transformers,wandb",58,0,https://github.com/huggingface/accelerate
743,apache-airflow-providers-databricks,18101482,success,71,"-pytest,-typeshed,airflow-client,airflow-shared,anyio,arango,attr,bson,certifi,colorama,daemon,datamodel-code-generator,docx,dotenv,elastic-transport,fastapi-cli,flask-babel,flask-jwt-extended,gcloud,github3,googleapiclient,gremlin-python,hatchling,httpcore,influxdb-client-3,jpype,jupyter-client,jwt,kiota-abstractions,kiota-authentication-azure,kiota-http,kiota-serialization-json,kiota-serialization-text,kombu,langchain-community,langchain-core,langchain-text-splitters,ldap,llama-index,markupsafe,msal,msrest,msrestazure,mypy-boto3-appflow,mypy-boto3-rds,mypy-boto3-redshift-data,mypy-boto3-s3,mypy-boto3-verifiedpermissions,mysqldb,odps,onelogin,openapi-spec-validator,opensearchpy,opentelemetry,performance-dags,prestodb,proto,psycopg2,pydantic-core,pymysql,pytz,requests-gssapi,slugify,smbclient,thrift,traitlets,unit,upath,vertex-ray,vertexai,watchfiles",306,528,https://github.com/apache/airflow
744,opentelemetry-distro,18051063,success,19,"agents,aiormq,astor,billiard,elastic-transport,gevent,google,hatchling,langchain-core,mcp,multidict,mysqldb,opentelemetry,readme-renderer,snappy,tomli,tomli-w,tortoise,yarl",71,131,https://github.com/open-telemetry/opentelemetry-python-contrib
745,google-cloud-container,18030194,clone_failed,0,,0,0,https://github.com/googleapis/google-cloud-python
746,tomli-w,18026455,success,0,,6,5,https://github.com/hukkin/tomli-w
747,spacy,18010261,success,20,"click,copy-reg,cpickle,cupy,gensim,google,ipython,jieba,natto,plac,pymorphy2,pymorphy3,pythainlp,pyvi,slack-sdk,spacy-pkuseg,spacy-transformers,sudachipy,typing-extensions,wheel",38,32,https://github.com/explosion/spaCy
748,universal-pathlib,17983864,success,4,"nox,pydantic-core,smbprotocol,tomli",11,31,https://github.com/fsspec/universal_pathlib
